نوع البطولة;الفريق الأول;الفريق الثاني;ميعاد المباراة;النتيجة
دوري أبطال آسيا للنخبة;أهلي جدة;ماتشيدا زيلفيا;19:15;1 | 0
كأس الاتحاد الإنجليزي;مانشستر سيتي;ساوثامبتون;19:15;2 | 1
الدوري المصري;حرس الحدود;وادي دجلة;17:00;0 | 1
الدوري الإنجليزي;فولهام;أستون فيلا;14:30;1 | 0
الدوري الإنجليزي;وولفرهامبتون;توتنهام هوتسبر;17:00;0 | 1
الدوري الإنجليزي;ليفربول;كريستال بالاس;17:00;3 | 1
الدوري الإنجليزي;وست هام يونايتد;إيفرتون;17:00;2 | 1
الدوري الإنجليزي;أرسنال;نيوكاسل;19:30;1 | 0
الدوري الإسباني;ألافيس;مايوركا;15:00;2 | 1
الدوري الإسباني;خيتافي;برشلونة;17:15;0 | 2
الدوري الإسباني;فالنسيا;جيرونا;19:30;2 | 1
الدوري الإسباني;اتلتيكو مدريد;أتلتيك بلباو;22:00;3 | 2
الدوري الإيطالي;بارما;بيزا كالتشيو;16:00;1 | 0
الدوري الإيطالي;بولونيا;روما;19:00;0 | 2
الدوري الإيطالي;هيلاس فيرونا;ليتشي;21:45;0 | 0
الدوري الفرنسي;ليون;اوكسير;16:00;3 | 2
الدوري الفرنسي;أنجيه;باريس سان جيرمان;20:00;0 | 3
الدوري الفرنسي;تولوز;موناكو;22:05;2 | 2
الدوري الألماني;ماينز;بايرن ميونيخ;16:30;3 | 4
الدوري الألماني;هايدنهايم;سانت باولي;16:30;2 | 0
الدوري الألماني;كولن;باير ليفركوزن;16:30;1 | 2
الدوري الألماني;أوجسبورج;آ. فرانكفورت;16:30;1 | 1
الدوري الألماني;فولفسبورج;مونشنجلادباخ;16:30;0 | 0
الدوري الألماني;هامبورج;هوفنهايم;19:30;1 | 2
دوري القسم الثاني-أ;لافيينا أف سي;طنطا‏;16:00;4 | 0
دوري القسم الثاني-أ;المصرية للاتصالات;أبو قير للاسمدة;16:00;1 | 1
الدوري الأفريقي لكرة السلة;ماكتاون فلايرز;جي سي كينجز;17:00;76 | 68
الدوري الأفريقي لكرة السلة;النادي الإفريقي;الأهلي;20:00;69 | 68
بطولة أفريقيا للأندية للكرة الطائرة;روكنزو;ميناء دولا الكاميروني;13:00;1 | 3
بطولة أفريقيا للأندية للكرة الطائرة;سبورتس-إس;الأهلي;13:00;0 | 3
بطولة أفريقيا للأندية للكرة الطائرة;ولايتا ديتشا;نادي الشرطة;15:00;0 | 3
بطولة أفريقيا للأندية للكرة الطائرة;البنك الكيني;إنجيس;15:00;3 | 1
بطولة أفريقيا للأندية للكرة الطائرة;الخدمات العامة;رواندا انيرجي جروب;17:00;1 | 3
بطولة أفريقيا للأندية للكرة الطائرة;الفتح الرياضي;السجون التنزاني;17:00;3 | 0
بطولة أفريقيا للأندية للكرة الطائرة;الكاميرون الرياضي;كيبلر;19:00;1 | 3
بطولة أفريقيا للأندية للكرة الطائرة;بلاك راينوز;ليتو;19:00;0 | 3
بطولة أفريقيا للأندية للكرة الطائرة;الجمارك النيجيري;بتروجيت;21:00;1 | 3
بطولة أفريقيا للأندية للكرة الطائرة;نادي الجيش الرواندي;نيموستارز;21:00;3 | 0
بطولة أفريقيا للأندية للكرة الطائرة;أتلتيكو;كاليبي;23:00;0 | 3
بطولة أفريقيا للأندية للكرة الطائرة;الجيش الغاني;هيئة الموانئ الكينية;23:00;3 | 2
الدوري التركي;ايوبسبور;غازي عنتاب بي.بي.كي;14:30;3 | 0
الدوري التركي;قيصري سبور;ريزه سبور;17:00;2 | 0
الدوري التركي;جوزتيبي;انطاليا سبور;20:00;2 | 0
الدوري البرتغالي;تونديلا;ناسيونال ماديرا;17:30;0 | 2
الدوري البرتغالي;بنفيكا;موريرنسي;20:00;4 | 1
الدوري البرتغالي;فيتوريا جيماريش;ريو آفي;22:30;2 | 0
الدوري التونسي;إتحاد بن قردان;الإتحاد المنستيري;17:30;0 | 0
الدوري التونسي;النجم الساحلى;مستقبل المرسى;17:30;0 | 0
الدوري التونسي;مستقبل قابس;النجم الرياضي بالمتلوي;17:30;0 | 0
الدوري التونسي;شبيبة العمران;سليمان الرياضي;17:30;0 | 0
الدوري المغربي;حسنية اغادير;اتحاد طنجة;18:00;1 | 1
الدوري المغربي;الاتحاد التوركي;أولمبيك آسفي;20:00;1 | 1
الدوري المغربي;النادي المكناسي;الدفاع الجديدي;20:00;0 | 1
الدوري المغربي;الكوكب المراكشي;الوداد البيضاوي;22:00;0 | 0
